IMGT_gene_name,IMGT_locus_gene_order,IMGT gene orientation in locus
TRAV1-1,1,direct
TRAV1-2,2,direct
TRAV2,3,direct
TRAV3,4,direct
TRAV4,5,direct
TRAV5,6,direct
TRAV6,7,direct
TRAV7,8,direct
TRAVA,9,direct
TRAV8-1,10,direct
TRAV9-1,11,direct
TRAV10,12,direct
TRAV11,13,direct
TRAV12-1,14,direct
TRAV8-2,15,direct
TRAV8-3,16,direct
TRAVB,17,direct
TRAV13-1,18,direct
TRAV14-1,19,direct
TRAV11-1,20,direct
TRAV12-2,21,direct
TRAV8-4,22,direct
TRAV8-5,23,direct
TRAV13-2,24,direct
TRAV14/DV4,25,direct
TRAV9-2,26,direct
TRAV15,27,direct
TRAV12-3,28,direct
TRAV8-6,29,direct
TRAV16,30,direct
TRAV17,31,direct
TRAV18,32,direct
TRAV19,33,direct
TRAVC,34,direct
TRAV20,35,direct
TRAV21,36,direct
TRAV8-6-1,37,direct
TRAV22,38,direct
TRAV23/DV6,39,direct
TRDV1,40,direct
TRAV24,41,direct
TRAV25,42,direct
TRAV26-1,43,direct
TRAV8-7,44,direct
TRAV27,45,direct
TRAV28,46,direct
TRAV29/DV5,47,direct
TRAV30,48,direct
TRAV31,49,direct
TRAV32,50,direct
TRAV33,51,direct
TRAV26-2,52,direct
TRAV34,53,direct
TRAV35,54,direct
TRAV36/DV7,55,direct
TRAV37,56,direct
TRAV38-1,57,direct
TRAV38-2/DV8,58,direct
TRAV39,59,direct
TRAV40,60,direct
TRAV41,61,direct
TRAV46,62,direct
TRDV2,63,direct
TRDD1,64,direct
TRDD2,65,direct
TRDD3,66,direct
TRDJ1,67,direct
TRDJ4,68,direct
TRDJ2,69,direct
TRDJ3,70,direct
TRDC,71,direct
TRDV3,72,opposite
TRAJ61,73,direct
TRAJ60,74,direct
TRAJ59,75,direct
TRAJ58,76,direct
TRAJ57,77,direct
TRAJ56,78,direct
TRAJ55,79,direct
TRAJ54,80,direct
TRAJ53,81,direct
TRAJ52,82,direct
TRAJ51,83,direct
TRAJ50,84,direct
TRAJ49,85,direct
TRAJ48,86,direct
TRAJ47,87,direct
TRAJ46,88,direct
TRAJ45,89,direct
TRAJ44,90,direct
TRAJ43,91,direct
TRAJ42,92,direct
TRAJ41,93,direct
TRAJ40,94,direct
TRAJ39,95,direct
TRAJ38,96,direct
TRAJ37,97,direct
TRAJ36,98,direct
TRAJ35,99,direct
TRAJ34,100,direct
TRAJ33,101,direct
TRAJ32,102,direct
TRAJ31,103,direct
TRAJ30,104,direct
TRAJ29,105,direct
TRAJ28,106,direct
TRAJ27,107,direct
TRAJ26,108,direct
TRAJ25,109,direct
TRAJ24,110,direct
TRAJ23,111,direct
TRAJ22,112,direct
TRAJ21,113,direct
TRAJ20,114,direct
TRAJ19,115,direct
TRAJ18,116,direct
TRAJ17,117,direct
TRAJ16,118,direct
TRAJ15,119,direct
TRAJ14,120,direct
TRAJ13,121,direct
TRAJ12,122,direct
TRAJ11,123,direct
TRAJ10,124,direct
TRAJ9,125,direct
TRAJ8,126,direct
TRAJ7,127,direct
TRAJ6,128,direct
TRAJ5,129,direct
TRAJ4,130,direct
TRAJ3,131,direct
TRAJ2,132,direct
TRAJ1,133,direct
TRAC,134,direct
